Title,Stars,Reviews,Address,Website
مستشفى أسيوط العام,3.6,(92),"
ميدان المجذوب، الحمراء الثانية، قسم أول أسيوط، محافظة أسيوط 2073013",N/A
مستشفيات جامعة أسيوط,3.8,(206),"
الوليدية القبلية، قسم أول أسيوط، محافظة أسيوط 2074020",N/A
مستشفى المبرة,3.9,(71),"
55VQ+77R، كورنيش النيل - الثورة، قسم ثان أسيوط، محافظة أسيوط 2090274",N/A
مستشفى أسيوط الجديدة الجامعي,3.9,(46),"
77FV+RRV، مدينة اسيوط الجديدة، محافظة أسيوط 2241453","
هل تملك هذا النشاط التجاري؟"
مستشفى شلبي/مستشفي الزهراء,3.8,(34),"
جمال عبد الناصر، الوليدية القبلية، قسم ثان أسيوط، محافظة أسيوط 2090330",N/A
مستشفى سانت ماريا,3.4,(129),"
21 الحكمدار، حى شرق، مركز أسيوط، محافظة أسيوط 2090377","
eldacatra.com"
مستشفى النيل,3.8,(15),"
شارع المأمون متفرع من شارع، حى فريال، الجلاء، محافظة أسيوط",N/A
مستشفى الرواد,3.5,(52),"
55JH+7WQ، شارع التحرير، الحمراء الثانية، قسم أول أسيوط، محافظة أسيوط 2073102","
هل تملك هذا النشاط التجاري؟"
مستشفى فرحة التخصصى باسيوط,4.6,(9),"
55VQ+2F8، الحمراء الثانية، الفتح، محافظة أسيوط 2090274","
facebook.com"
مستشفى الصدر باسيوط,3.8,(79),"
55VG+VJH، الإبراهيمية، الوليدية الوسطانية، قسم ثان أسيوط، محافظة أسيوط 2091001",N/A
مستشفى الشرطة باسيوط,3.9,(40),"
55VH+7RV، كورنيش الإبراهيمية، الوليدية القبلية، قسم ثان أسيوط، محافظة أسيوط 2090343","
140online.com"
اسيوط مستشفى الحكمة,4.2,(19),"
55JP+6X4، إسماعيل القباني، الحمراء الثانية، قسم أول أسيوط، محافظة أسيوط 2073065",N/A
مستشفى أسيوط الوطني,4.3,(6),"
معهد الفتيات الأزهري، الوليدية القبلية، قسم ثان أسيوط، أسيوط،، محافظة أسيوط 71111","
altibbi.com"
مستشفى الرمد باسيوط,3.9,(32),"
55VP+GHF، الجمهورية، قسم ثان أسيوط، محافظة أسيوط 2090271","
140online.com"
مستشفى رئيس الملائكة,4.3,(74),"
11 عمر إبن عبد العزيز، الحمراء الثانية، قسم ثان أسيوط، محافظة أسيوط 2090250",N/A
مستشفى الانسانيه,3.7,(78),"
محمد فريد، الحمراء الثانية، قسم أول أسيوط، محافظة أسيوط 2073063",N/A
مستشفى الرحاب التخصصى,3.5,(54),"
الإبراهيمية، الوليدية الوسطانية، قسم ثان أسيوط، محافظة أسيوط 2091002","
eldacatra.com"
مستشفى طيبة,3.8,(51),"
55RQ+5P7، الحمراء الثانية، الفتح، محافظة أسيوط 2090272",N/A
مستشفى الرضا,5.0,(1),"
55QH+7X6، الجلاء، حى شرق، مركز أسيوط، محافظة أسيوط 2090311","
هل تملك هذا النشاط التجاري؟"
مستشفى الزراعيين (بنون 2),4.0,(67),"
55PP+9QG، المساحة، الحمراء الثانية، قسم ثان أسيوط، محافظة أسيوط 2090251","
هل تملك هذا النشاط التجاري؟"
مستشفىات جامعة الأزهر بأسيوط,4.2,(42),"
6537+GJ7، الوليدية البحرية، قسم ثان أسيوط، محافظة أسيوط 2091110","
هل تملك هذا النشاط التجاري؟"
مستشفى دار الصفوة,3.7,(15),"
23 يوليو 23، الحمراء الثانية، قسم أول أسيوط، محافظة أسيوط 2073020",N/A
مستشفى الندى,5.0,(7),"
55MR+3XF، الهلالي، حى شرق، مركز أسيوط، محافظة أسيوط 2090230","
هل تملك هذا النشاط التجاري؟"
مستشفى دار الشفاء,3.4,(33),"
الحمراء الثانية، قسم ثان أسيوط، محافظة أسيوط 2090311","
m.facebook.com"
مستشفى الرحاب التخصصى 2,3.6,(33),"
البيسرى بعد قسم المطافى، محافظة أسيوط",N/A
مستشفى الأمل التخصصى,4.4,(27),"
55XH+258، الوليدية الوسطانية، قسم ثان أسيوط، محافظة أسيوط 2091203",N/A
مستشفى الوادي بأسيوط,3.8,(10),"
654J+W22، كورنيش النيل، بني مر، مركز الفتح، أسيوط،، قسم ثان أسيوط","
هل تملك هذا النشاط التجاري؟"
مستشفي الايمان بالاربعين,3.7,(104),"
حي الاربعين، المدابغ وجبانة المسلمين، قسم أول أسيوط، محافظة أسيوط 2070170",N/A
مستشفى الاطفال الجامعى - جامعة اسيوط,4.2,(48),"
طريق البيسري، الوليدية القبلية، قسم أول أسيوط، محافظة أسيوط 2074020","
yellowpages.com.eg"
مستشفى الدكتور مراد التخصصى,5.0,(1),"
55HQ+6P4، الشيخ فايق أبو المعالي، الحمراء الثانية، قسم ثان أسيوط، أسيوط،، قسم أول أسيوط، 2073060",N/A
مستشفى الأقصى التخصصي,2.5,(2),"
55PJ+HCM، الجلاء، الحمراء الثانية، الفتح، محافظة أسيوط 2073143","
هل تملك هذا النشاط التجاري؟"
مستشفى الحنان,N/A,N/A,"
55HM+MXM، أحمد عبد الله، الحمراء الثانية، قسم ثان أسيوط،، قسم أول أسيوط، محافظة أسيوط","
bosla-assiut.com"
مستشفى الصحة النفسية بأسيوط,3.1,(12),"
55WG+3HM، الوليدية الوسطانية، قسم ثان أسيوط، محافظة أسيوط 2091001","
140online.com"
مستشفي القدس,3.1,(32),"
شارع بلال ابن رباح، الوليدية الوسطانية، قسم ثان أسيوط، محافظة أسيوط 2091301",N/A
مستشفى البدارى المركزى,3.5,(60),"
XCQ6+RR7، ش الدواوين، البداري، مركز البدارى، محافظة أسيوط 2212512",N/A
مستشفى البدارى المركزى,3.5,(60),"
XCQ6+RR7، ش الدواوين، البداري، مركز البدارى، محافظة أسيوط 2212512",N/A
مستشفي الصفا التخصصي,N/A,N/A,"
الحمراء الثانية، الفتح، محافظة أسيوط 2073013",N/A
مستشفى الطلبة - أسيوط,3.5,(8),"
55P7+R4C، طريق البيسري، قسم أول أسيوط، محافظة أسيوط 2074020",N/A
مستشفى السلام للعيون,5.0,(2),"
55PJ+R5J، امتداد ش يسرى راغب، حى شرق، مركز أسيوط، محافظة أسيوط 2073143","
هل تملك هذا النشاط التجاري؟"
القصر العيني,3.9,(92),"
55P8+3H3، الوليدية القبلية، قسم أول أسيوط، محافظة أسيوط 2074020",N/A
المستشفي الجامعي العيادات جامعة الأزهر بأسيوط,4.0,(38),"
الوليدية الوسطانية، قسم ثان أسيوط، محافظة أسيوط 2091110",N/A
مستشفى القلب الجامعي باسيوط مساهمة بهاء حمد عبدالناصر,4.2,(23),"
مدخل جامعة اسيوط، الوليدية القبلية، قسم أول أسيوط، محافظة أسيوط 2074020",N/A
مستشفى دار السلام للعظام,4.4,(16),"
عماره الاوقاف 1، ٢٣ يوليو .المحطه، الحمراء الثانية، قسم أول أسيوط، محافظة أسيوط 71111","
darelsalamhospital.com"
مستشفي صحة المرأة الجامعي,3.8,(20),"
طريق البيسري، الوليدية القبلية، قسم ثان أسيوط، محافظة أسيوط 2074020",N/A
مستشفى الكلى والمسالك والعصبية,4.6,(9),"
55P9+55G، طريق القصر، الوليدية القبلية، قسم أول أسيوط، محافظة أسيوط 2074020",N/A
Agayby medical hospital -مستشفى العجايبى التخصصى للعظام,4.6,(9),"
55QM+244، الإمام علي، الحمراء الثانية، قسم ثان أسيوط، محافظة أسيوط 2090312",N/A
مستشفى الحياه باسيوط,3.6,(115),"
مكة المكرمة، الوليدية القبلية، قسم ثان أسيوط، محافظة أسيوط 2090334","
facebook.com"
مستشفى الراجحي الجامعي للكبد,4.3,(38),"
55P7+QWH، الحمراء الثانية، الفتح، محافظة أسيوط 2074020","
aun.edu.eg"
مستشفى أبوتيج النموذجي,3.8,(46),"
أبو تيج، محافظة أسيوط 2043046","
facebook.com"
مستشفى العطيفى,3.8,(4),"
شركه فريال، 34 العطيفي، الوليدية القبلية، قسم ثان أسيوط، محافظة أسيوط 71111",N/A
