Title,Stars,Reviews,Address,Website
مستشفى أندلسية المعادي,3.8,"(1,600)","
شارع النصر، عزبة فهمي، قسم البساتين، محافظة القاهرة‬ 4234311",N/A
القاهره التخصصي مستشفيات كليوبترا,4.1,"(1,567)","
4 شارع أبوعبيدة, البكري, روكسي, قسم مصر الجديدة، محافظة القاهرة‬ 4460220","
cleopatrahospitals.com"
مستشفى السلام الدولى,4.7,"(9,932)","
القاهرة - الواسطي، أثر النبي، قسم دار السلام، محافظة القاهرة‬ 4220501","
assih.com"
مستشفى الحسين التخصصي,3.9,(514),"
27V8+X79، جوهر القائد، Ad، الدرب الأحمر، محافظة القاهرة‬ 4293076",N/A
المستشفى القبطي بالقاهرة,3.9,(494),"
Ramsis st. extension - beside NBE branch - Cairo القاهرة, 6 القبيسي، الظاهر، الأزبكية، محافظة القاهرة‬ 11432","
eg.kompass.com"
مستشفى الزهيري,4.3,(709),"
33, El Ekhsheed street، El Roda","
zohairyhospital.com"
مستشفى السلام الدولي فرع القاهرة الجديدة,4.4,"(1,318)","
مستشفى السلام الدولي فرع، قسم أول القاهرة الجديدة، محافظة القاهرة‬ 4723115","
assih.com"
مستشفيات جامعة القاهرة,3.8,(64),"
26JG+JRF، قسم مصر القديمة، محافظة القاهرة‬ 4240310",N/A
مستشفى أحمد ماهر التعليمي,3.6,(450),"
341, Port Said St., Bab El Khalq, 341 بور سعيد، Cairo, محافظة القاهرة‬",N/A
مستشفى قصر العيني التعليمي الجديد,3.9,(576),"
كورنيش النيل، العيني، قسم السيدة زينب، محافظة القاهرة‬ 4262001",N/A
مستشفي الانجلو امريكان,3.7,(201),"
الزمالك، محافظة القاهرة‬ 4270023","
facebook.com"
مستشفى الندى,3.8,(268),"
269F+9WG، المنيل الغربي، قسم مصر القديمة، محافظة القاهرة‬ 4240221",N/A
مستشفى الجنزوري التخصصي,3.7,(804),"
Kasr El Tahra, Sq. Roxy, 63 طومان باي، محافظة القاهرة‬","
ganzourihospital.com"
مستشفى عين شمس التخصصي,3.7,(765),"
next to the Faculty of Commerce، Al-Khalifa Al-Ma'mun Street، العباسية","
asush.asu.edu.eg"
مستشفى الدمرداش,3.5,(599),"
المدخل الرئيسي لمستشفى الدمرداش, لطفي السيد","
m.facebook.com"
مستشفي مصر الدولي Misr International Hospital,3.3,(818),"
12 شارع السرايا، ميدان فيني، قسم الدقي، محافظة الجيزة","
misrhospital.org"
مستشفى منشية البكري العام,3.4,(287),"
13 جسر السويس، منشية البكري، قسم مصر الجديدة، محافظة القاهرة‬ 4460103",N/A
مستشفى المنيل التخصصي,3.5,(144),"
26JG+77W، abdel aziz Al Saoud st.، MANIAL EL RODA، قسم مصر القديمة، محافظة القاهرة‬ 4240310",N/A
المستشفي اليوناني بالقاهرة,3.9,(72),"
١٥، أحمد فواد عبد العزيز السريات، السرايات، الوايلى","
m.facebook.com"
Dar ElSalam Hospital,3.5,(91),"
267H+2HQ، الكفور، قسم مصر القديمة، محافظة القاهرة‬ 4241250","
هل تملك هذا النشاط التجاري؟"
مستشفى أندلسية المعادي,3.8,"(1,600)","
شارع النصر، عزبة فهمي، قسم البساتين، محافظة القاهرة‬ 4234311",N/A
مستشفى أندلسية المعادي,3.8,"(1,600)","
شارع النصر، عزبة فهمي، قسم البساتين، محافظة القاهرة‬ 4234311",N/A
مستشفى مصر الجديدة التخصصي,4.0,(185),"
11 محمد والي, متفرع من شارع الحجاز, محافظة القاهرة‬",N/A
مستشفى القاهرة الفاطمية,4.1,(133),"
خلف مشيخة الأزهر، الجمالية، قسم الجمالية، محافظة القاهرة‬ 4335004","
eldacatra.com"
مستشفي أبو الريش الياباني,4.0,(264),"
العيني، قسم السيدة زينب، محافظة القاهرة‬ 4260018","
facebook.com"
مستشفى كليوباترا,4.2,"(3,489)","
39 Cleopatra، Maidan Salahuddin Square، الماظة، قسم مصر الجديدة","
cleopatrahospitals.com"
مستشفى دار الشفاء,4.0,(356),"
25 محمد الفهمي، العباسية الغربية، الوايلى، محافظة القاهرة‬ 4390301","
smc.gov.eg"
مستشفى المنيرة العام,3.7,(183),"
محمد عز الدين، خيرت، قسم السيدة زينب، محافظة القاهرة‬ 4262130","
healtheg.com"
مستشفى شبرا العام,3.7,(252),"
75 عطفة أبو العلا، الترعة البولاقية، شبرا، محافظة القاهرة‬ 4343221",N/A
مستشفى السلام,3.5,(49),"
3 ميدان الجيش، الجمالية، قسم الجمالية، محافظة القاهرة‬ 4334143",N/A
مستشفى مصر والسودان التخصصى,3.6,(147),"
ش مصر و السودان، الخاصة، حدائق القبة، محافظة القاهرة‬ 4381602","
m.facebook.com"
ElGomhoria Teaching Hospital مستشفى الجمهورية التعليمى,3.7,(56),"
12 El Baramouny St, As Saqqyin, Abdeen، Cairo، Egypt، 16 إسماعيل أبو طبل، St، محافظة القاهرة‬",N/A
مستشفى الأمل,3.3,(526),"
25 ميدان فوزي رماح، ميت عقبة، حي العجوزة، محافظة الجيزة 3752320","
alamalhospital.net"
جامعة القاهرة مستشفى الطلبة,4.0,(192),"
2685+2MW، Giza Bridge، Road، أولى، البحيرة","
facebook.com"
المستشفى القوات الجويةبالعباسية,4.2,(496),"
377F+4VJ، أحمد سعيد، العباسية، محافظة القاهرة‬","
airforcesh.org.eg"
مستشفى باب الشعرية,3.7,(448),"
3766+222، Al Shareaa Al Gadid، العدوي، باب الشعرية, العدوي، محافظة القاهرة‬ 4330360","
m.facebook.com"
مستشفى نصر الاسلام,4.1,(113),"
37Q3+9FH، البراد، الساحل، محافظة القاهرة‬ 4352301","
140online.com"
المستشفى الإيطالى,3.8,(282),"
17 السرايات، St، Abbassieh، محافظة القاهرة‬ 11757","
italianhospital.com"
مستشفى الحكمة,3.9,(96),"
قسم السيدة زينب، 18 الرشيدي، المنيرة، قسم السيدة زينب، محافظة القاهرة‬ 11562","
alhekmahosp.com"
مستشفى روض الفرج العام,3.3,(64),"
36GP+VPQ، إبن الرشيد، روض الفرج، محافظة القاهرة‬ 4341046","
healtheg.com"
مستشفى أندلسية المعادي,3.8,"(1,600)","
شارع النصر، عزبة فهمي، قسم البساتين، محافظة القاهرة‬ 4234311",N/A
